Model_Name, model_url, Batch_Size, Low_Mem, Cache_Type, Streaming, Is_Batch, Token_Healing, Max_New_Tokens, Time_Total, Tokens_per_second, VRAM_GB_used
bagel-dpo-7b-v0.1-4.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/bagel-dpo-7b-v0.1-4.0bpw-h6-exl2-2,1, True, 16-bit, False, False, True,400,6.93,58,4.01
bagel-dpo-7b-v0.1-4.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/bagel-dpo-7b-v0.1-4.0bpw-h6-exl2-2,2, True, 16-bit, False, True, True,400,8.03,100,4.14
bagel-dpo-7b-v0.1-4.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/bagel-dpo-7b-v0.1-4.0bpw-h6-exl2-2,4, True, 16-bit, False, True, True,400,10.37,154,4.39
bagel-dpo-7b-v0.1-4.0bpw-h6-exl2-2, https://huggingface.co/LoneStriker/bagel-dpo-7b-v0.1-4.0bpw-h6-exl2-2,8, True, 16-bit, False, True, True,400,19.36,165,4.91
Mistral-7B-instruct-exl2-4.0bpw, https://huggingface.co/turboderp/Mistral-7B-instruct-exl2.git,1, True, 16-bit, False, False, True,400,6.73,59,4.91
Mistral-7B-instruct-exl2-4.0bpw, https://huggingface.co/turboderp/Mistral-7B-instruct-exl2.git,2, True, 16-bit, False, True, True,400,7.88,102,4.91
Mistral-7B-instruct-exl2-4.0bpw, https://huggingface.co/turboderp/Mistral-7B-instruct-exl2.git,4, True, 16-bit, False, True, True,400,10.09,159,4.91
Mistral-7B-instruct-exl2-4.0bpw, https://huggingface.co/turboderp/Mistral-7B-instruct-exl2.git,8, True, 16-bit, False, True, True,400,19.34,165,4.91
Starling-LM-7B-alpha-exl2-4bit,https://huggingface.co/bartowski/Starling-LM-7B-alpha-exl2,1, True, 16-bit, False, False, True,400,6.72,60,4.91
Starling-LM-7B-alpha-exl2-4bit,https://huggingface.co/bartowski/Starling-LM-7B-alpha-exl2,2, True, 16-bit, False, True, True,400,7.79,103,4.91
